placa;marca;frota;ano;chassi;tipovi;Carroceria;cor;CIDADE ESTADO
JVZ-8102;VW/19.320 CLC TT;N° 02;2008;9BW9J82468R830398;VW/19.320 CLC TT;;BRANCA;BELÉM-PA
JVJ-6657;VW/19.320 CLC TT;N° 03;2008;9BW9J82789R901192;VW/19.320 CLC TT;;BRANCA;BELÉM-PA
JVJ-6647;VW/19.320 CLC TT;N° 04;2008;9BW9J82709R904846;VW/19.320 CLC TT;;BRANCA;BELÉM-PA
JVR-0344;VW/19.320 CLC TT;Nº 05;2008;9BW9J82749R907264;VW/19.320 CLC TT;;BRANCA;BELÉM-PA
JVT-5064;VW/25.370 CLM T 6X2;Nº 06;2008;9BWYW82799R911291;VW/25.370 CLM T 6X2;;BRANCA;BELÉM-PA
JVT-5124;VW/25.370 CLM T 6X2;Nº 07;2008;9BWYW82749R909268;VW/25.370 CLM T 6X2;;BRANCA;BELÉM-PA
JVV-7384;VW/19.320 CLC TT;Nº 08;2008;9BW9J82709R913286;VW/19.320 CLC TT;;BRANCA;BELÉM-PA
JVV-7414;VW/19.320 CLC TT;N° 09;2008;9BW9J82789R920907;VW/19.320 CLC TT;;CINZA;BELÉM-PA
JVZ-4037;VOLVO/FH 440 6X2T;N° 10;2008;9BVAS02C69E745464;VOLVO/FH 440 6X2T;;AZUL;BELÉM-PA
OFP-8182;VW/19.330 CTC 4X2;N° 11;2012;9536Y8273CR240585;VW/19.330 CTC 4X2;;BRANCA;BELÉM-PA
JVL-7714;SCANIA/G 420 A4X2;Nº 12;2008;9BSG4X20083631958;SCANIA/G 420 A4X2;;BRANCA;BELÉM-PA
JVC-7637;VOLVO/FH 440 6X4T;N° 13;2007;9BVAS02D77E734687;VOLVO/FH 440 6X4T;;BRANCA;BELÉM-PA
NSJ-2448;VW/19.320 CLC TT;Nº 14;2008;9BW9J82779R920915;VW/19.320 CLC TT;;CINZA;BELÉM-PA
NSU-0J80;VW/25.370 CLM T 6X2;Nº 15;2010;9535W8277BR108977;VW/25.370 CLM T 6X2;;PRATA;BELÉM-PA
QVI-5690;MAN/TGX29.480 6X4 T;N° 16;2020;9532AXAZXLE000778;MAN/TGX29.480 6X4 T;;BRANCA;BELÉM-PA
QVH-4C61;MAN/TGX29.480 6X4 T;N° 17;2020;9532AXAZ7LE001743;MAN/TGX29.480 6X4 T;;BRANCA;BELÉM-PA
QVQ-7D65;MAN/TGX29.480 6X4 T;Nº 18;2020;9532AXAZ6LE002186;MAN/TGX29.480 6X4 T;;BRANCA;BELÉM-PA
QVS-4G80;MAN/TGX 28.440 6X2T;N° 19;2020;95388XZZ3LE002379;MAN/TGX 28.440 6X2T;;BRANCA;BELÉM-PA
QVJ-9A32;MAN/TGX29.480 6X4 T;Nº 20;2020;9532AXAZ6LE001877;MAN/TGX29.480 6X4 T;;BRANCA;BELÉM-PA
QVS-4G50;MAN/TGX 28.440 6X2T;Nº 21;2020;95388XZZ8LE002376;MAN/TGX 28.440 6X2T;;BRANCA;BELÉM-PA
QVS-4H00;MAN/TGX 28.440 6X2T;N° 22;2020;95388XZZ8LE002278;MAN/TGX 28.440 6X2T;;BRANCA;BELÉM-PA
QVN-6D32;VW/28.460 METEOR 6X2;N° 23;2021;953998TH9MR200501;VW/28.460 METEOR 6X2;;BRANCA;BELÉM-PA
ITO-5A43;VW/26.390 CTC 6X4;Nº 25;2012;9536T8275CR247388;VW/26.390 CTC 6X4;;BRANCA;BELÉM-PA
QVS-0J34;VW/28.460 METEOR 6X2;Nº 26;2021;953998TH0NR200601;VW/28.460 METEOR 6X2;;AZUL;BELÉM-PA
QVU-4C54;VW/28.460 METEOR 6X2;N° 27;2021;953998TH6NR201459;VW/28.460 METEOR 6X2;;AZUL;BELÉM-PA
QVV-7H98;VW/28.460 METEOR 6X2;Nº 28;2022;953998TH4NR201721;VW/28.460 METEOR 6X2;;BRANCA;BELÉM-PA
RWK-8B19;VW/28.460 METEOR 6X2;Nº 29;2022;953998TH0NR202056;VW/28.460 METEOR 6X2;;BRANCA;BELÉM-PA
MWI-3A70;VOLVO/NH12380 4X2T;Nº 30;2002;9BVB4B5AO3E684201;VOLVO/NH12380 4X2T;;AZUL;BELÉM-PA
RWU-3G31; VW/28.460 METEOR 6X2;N° 31;2022;953998TH4NR202786; VW/28.460 METEOR 6X2;;AZUL;BELÉM-PA
RWU-3G61;VW/28.460 METEOR 6X2;N° 32;2022;953998TH2NR202916;VW/28.460 METEOR 6X2;;VERMELHA;BELÉM-PA
RWO-3D30;VW/25.460 CTM 6X2;N° 33;2022;953698TK9NR050146;VW/25.460 CTM 6X2;;PRATA;ANANINDEUA-PA
RWK-9H02;VW/29.520 METEOR 6X4;N° 34;2022;9539B8TJ2NR203944;VW/29.520 METEOR 6X4;;BRANCA;BELÉM-PA
RWU-3I62;VW/28.460 METEOR 6X2;Nº 35;2022;953998TH8NR202421;VW/28.460 METEOR 6X2;;BRANCA;BELÉM-PA
RWR-3D73;VW/28.460 METEOR 6X2;Nº 36;2022;953998TH0NR204065;VW/28.460 METEOR 6X2;;LARANJA;BELÉM-PA
RWR-3D43;VW/28.460 METEOR 6X2;Nº 37;2022;953998TH5NR204224;VW/28.460 METEOR 6X2;;AMERELO;BELÉM-PA
RWL-1E43;VW/28.460 METEOR 6X2;Nº 38;2022;953998TH6NR203146;VW/28.460 METEOR 6X2;;BRANCA;BELÉM-PA
RWL-1E33;VW/29.520 METEOR 6X4;Nº 39;2022;9539B8TJ2NR203880;VW/29.520 METEOR 6X4;;BRANCA;BELÉM-PA
RWM-4D53;VW/29.520 METEOR 6X4;Nº 40;2022;9539B8TJ7NR203888;VW/29.520 METEOR 6X4;;BRANCA;BELÉM-PA
RWL-1E23;VW/29.520 METEOR 6X4;Nº 41;2022;9539B8TJ8NR203883;VW/29.520 METEOR 6X4;;BRANCA;BELÉM-PA
RWM-4D43;VW/29.520 METEOR 6X4;Nº 42;2022;9539B8TJ3NR203905;VW/29.520 METEOR 6X4;;BRANCA;BELÉM-PA
RWN-8I96;VOLVO/FH 540 6X4T;Nº 43;2022;9BVRG40D0NE920549;VOLVO/FH 540 6X4T;;BRANCA;BELÉM-PA
RWU-6H10;DAF/XF FTT 530;Nº 44;2023;98PTTH430PB132363;DAF/XF FTT 530;;VERDE;BELÉM-PA
RXD-3F51;VOLVO/FH 540 6X4T;Nº 45;2022;9BVRG40D5NE929600;VOLVO/FH 540 6X4T;;PRATA;BELÉM-PA
RXD-3F71;VOLVO/FH 540 6X4T;Nº 46;2022;9BVRG40D5NE929598;VOLVO/FH 540 6X4T;;PRATA;BELÉM-PA
